19,22,2,25
9,6,2,22
29,34,1,30
27,8,3,15
25,31,2,15
29,9,1,21
12,17,2,30
18,32,3,15
35,21,9,21
34,2,9,22
6,10,8,20
35,9,7,20
22,8,5,16
3,24,9,13
16,20,8,14
11,8,2,20
16,35,2,23
10,1,9,10
9,23,7,29
34,4,7,19
30,14,7,19
31,12,4,25
33,4,8,15
34,10,10,25
3,32,5,15
32,24,4,11
31,18,3,22
1,17,8,17
9,20,6,27
33,12,9,11
17,7,6,28
16,5,3,11
3,21,9,27
18,13,10,24
14,3,7,22
13,12,7,20
1,21,7,15
27,18,7,24
34,28,3,21
13,29,4,28
16,32,8,12
31,20,5,28
4,2,7,30
35,34,3,17
19,32,9,14
12,6,7,20
18,24,4,19
25,3,2,13
7,31,10,29
21,20,7,18
