2,27,6,78
6,20,8,79
21,30,6,82
22,9,10,83
6,28,8,77
6,28,5,82
22,9,7,80
21,30,7,84
22,23,8,80
23,5,6,84
23,5,7,81
22,23,5,72
21,30,5,86
18,1,9,74
17,31,6,76
17,31,10,77
18,1,5,73
21,30,5,80
32,33,10,79
3,16,6,74
3,16,7,82
32,33,6,88
21,30,8,82
30,4,6,80
22,27,9,79
22,27,6,82
30,4,6,81
21,30,7,77
32,3,8,76
29,2,7,81
29,2,6,76
32,3,7,82
21,30,5,82
19,21,8,75
32,5,8,72
32,5,5,76
19,21,6,78
21,30,5,79
5,15,5,78
14,18,10,85
14,18,7,79
5,15,6,87
21,30,8,73
8,6,6,85
26,28,8,82
26,28,5,80
8,6,5,88
21,30,6,73
21,6,7,75
9,29,5,85
