2,4,18,27,0,0
2,22,18,27,0,0
2,22,17,27,0,0
6,26,32,24,20,0
6,26,15,10,24,20
6,26,15,8,24,20
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
22,33,29,9,0,0
22,7,29,9,0,0
22,2,29,9,0,0
6,28,0,0,0,0
6,26,18,28,0,0
6,26,4,28,0,0
6,28,0,0,0,0
6,26,18,28,0,0
6,26,4,28,0,0
22,33,29,9,0,0
22,7,29,9,0,0
22,2,29,9,0,0
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
22,33,29,23,0,0
22,7,29,23,0,0
22,2,29,23,0,0
23,19,5,0,0,0
23,29,5,0,0,0
23,29,19,5,0,0
23,19,5,0,0,0
23,29,5,0,0,0
23,29,19,5,0,0
22,33,29,23,0,0
22,7,29,23,0,0
22,2,29,23,0,0
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
18,22,33,1,0,0
18,27,30,33,1,0
18,22,7,33,1,0
17,27,30,31,0,0
17,35,30,31,0,0
17,27,21,31,0,0
17,27,30,31,0,0
17,35,30,31,0,0
17,27,21,31,0,0
18,22,33,1,0,0
18,27,30,33,1,0
18,22,7,33,1,0
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
32,26,18,22,33,0
32,24,10,29,33,0
32,8,10,29,33,0
3,16,0,0,0,0
3,18,16,0,0,0
3,18,28,16,0,0
3,16,0,0,0,0
3,18,16,0,0,0
3,18,28,16,0,0
32,26,18,22,33,0
32,24,10,29,33,0
32,8,10,29,33,0
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
30,27,18,4,0,0
30,33,7,2,4,0
30,27,18,26,4,0
22,18,27,0,0,0
22,17,27,0,0,0
22,35,27,0,0,0
22,18,27,0,0,0
22,17,27,0,0,0
22,35,27,0,0,0
30,27,18,4,0,0
30,33,7,2,4,0
30,27,18,26,4,0
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
32,26,18,3,0,0
32,26,4,18,3,0
32,26,18,16,3,0
29,2,0,0,0,0
29,10,2,0,0,0
29,7,2,0,0,0
29,2,0,0,0,0
29,10,2,0,0,0
29,7,2,0,0,0
32,26,18,3,0,0
32,26,4,18,3,0
32,26,18,16,3,0
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
19,29,33,31,21,0
19,29,33,30,21,0
19,29,33,30,27,21
32,24,10,29,5,0
32,8,10,29,5,0
32,24,10,7,5,0
32,24,10,29,5,0
32,8,10,29,5,0
32,24,10,7,5,0
19,29,33,31,21,0
19,29,33,30,21,0
19,29,33,30,27,21
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
5,7,2,15,0,0
5,29,10,15,0,0
5,29,2,15,0,0
14,9,29,33,22,18
14,9,29,7,22,18
14,9,29,2,4,18
14,9,29,33,22,18
14,9,29,7,22,18
14,9,29,2,4,18
5,7,2,15,0,0
5,29,10,15,0,0
5,29,2,15,0,0
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
8,15,26,6,0,0
8,32,26,6,0,0
8,10,15,26,6,0
26,18,28,0,0,0
26,4,28,0,0,0
26,6,28,0,0,0
26,18,28,0,0,0
26,4,28,0,0,0
26,6,28,0,0,0
8,15,26,6,0,0
8,32,26,6,0,0
8,10,15,26,6,0
21,30,0,0,0,0
21,27,30,0,0,0
21,31,30,0,0,0
21,27,18,26,6,0
21,27,18,28,6,0
21,27,18,4,26,6
9,29,0,0,0,0
9,23,29,0,0,0
9,12,29,0,0,0
