76,74,79,78,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,19.9,79,78,51.1,43.9,71,61.1,74,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,19.9,41.2,71,29.9,65.1,78,19.9,19.9,62.1,19.9,57.2,79,31.9,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,51.1,39.2,71,19.9,19.9,78,29.9,57.2,19.9,23.9,19.9,19.9,70.1,16,78,55.2,19.9,77,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,65,19.8,19.9,14,18,71,19.7,57.2,23.9,19.9,19.9,19.8,70.1,78,16,63,19.7,76,79,74,80,16,59.1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.5,28.5,19.8,19.9,19.9,19.9,51.1,19.7,57.2,19.9,25.7,19.9,19.8,68.3,78,16,55.2,18,76,79,54,80,18,59.1,48.6,19.9,19.9,19.7,71,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.25,29.25,13.2,51.1,19.9,19.9,19.9,13.2,19.9,24.95,19.9,57.2,13.1,55.2,18,76,69.05,13.2,76,73.1,74,80,16,59.1,47.85,19.9,19.9,13.1,19.9,17.25,18.5,71,13.2,75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.8,28.3,11.3,19.9,10.1,10.1,51.1,11.3,19.9,15.2,11.2,65.9,11.3,78.8,14.6,79.4,74.8,11.3,76,74,71.2,80,12.6,59.1,36.9,19.9,19.9,11.3,21.8,10.1,10.1,71,11.3,36.2,19.9,57.5,78,11.2,46.6,19.9,0,0,0,0,0,0,0,0,0,0
55,8,11.2,19.9,12.1,12.1,51.1,10.4,73.8,15,11,12.2,11.3,79,19.9,67.1,70.8,11.3,76,30.2,69.2,80,10.4,18,36.3,19.9,61,11.3,71,10.4,10.4,38.6,11.3,24,19.9,49.3,78,11.3,39.1,15.7,15.7,19.9,11.3,22.8,64.8,0,0,0,0,0
58.6,14.1,9.9,19.9,14.5,14.6,51.1,9.8,19.9,17.4,14,45.7,12.6,65.9,27.2,57.6,35.4,9.9,76,64.8,67.8,80,9.9,19.9,57.4,16.6,19.9,9.9,71,9.8,9.7,25.2,9.9,53.2,44.9,19.9,78,9.8,19.9,8.1,14.1,24.9,12.6,14.7,48.2,33.2,14.7,9.9,69.6,9.2
