16,12,4,85
22,8,3,82
18,4,3,87
16,12,4,77
24,22,5,82
24,22,3,84
16,12,3,78
18,4,4,75
15,22,4,78
23,30,5,88
23,30,3,77
15,22,4,80
18,4,3,76
17,32,4,75
3,12,3,81
3,12,3,80
17,32,5,81
18,4,4,76
25,18,3,80
1,31,4,75
1,31,4,78
25,18,3,77
18,4,3,79
21,28,3,73
23,29,4,75
23,29,3,82
21,28,4,82
18,4,4,77
7,18,3,79
10,2,4,85
10,2,3,80
7,18,3,77
18,4,5,73
31,12,5,77
32,11,5,83
32,11,4,81
31,12,6,78
18,4,4,77
30,33,3,80
31,1,3,75
31,1,3,79
30,33,4,84
18,4,4,75
4,17,5,88
1,32,3,83
1,32,3,80
4,17,3,82
18,4,4,84
24,17,5,83
20,1,4,81
