6,26,15,10,29,19
6,26,15,2,29,19
6,26,4,2,29,19
29,33,22,18,0,0
29,7,22,18,0,0
29,2,4,18,0,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
10,15,26,6,0,0
10,2,15,26,6,0
10,2,4,26,6,0
23,29,33,22,17,0
23,29,33,35,17,0
23,29,7,22,17,0
23,29,33,22,17,0
23,29,33,35,17,0
23,29,7,22,17,0
10,15,26,6,0,0
10,2,15,26,6,0
10,2,4,26,6,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
9,29,33,1,0,0
9,29,33,31,1,0
9,23,29,33,1,0
13,3,18,0,0,0
13,17,27,18,0,0
13,17,22,18,0,0
13,3,18,0,0,0
13,17,27,18,0,0
13,17,22,18,0,0
9,29,33,1,0,0
9,29,33,31,1,0
9,23,29,33,1,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
21,27,17,13,0,0
21,27,17,34,13,0
21,27,18,3,13,0
25,7,2,4,0,0
25,33,7,2,4,0
25,7,22,18,4,0
25,7,2,4,0,0
25,33,7,2,4,0
25,7,22,18,4,0
21,27,17,13,0,0
21,27,17,34,13,0
21,27,18,3,13,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
26,15,10,29,9,14
26,15,10,29,23,14
26,15,10,12,23,14
4,2,10,12,0,0
4,15,10,12,0,0
4,2,29,12,0,0
4,2,10,12,0,0
4,15,10,12,0,0
4,2,29,12,0,0
26,15,10,29,9,14
26,15,10,29,23,14
26,15,10,12,23,14
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
7,22,0,0,0,0
7,2,22,0,0,0
7,33,22,0,0,0
25,5,0,0,0,0
25,7,5,0,0,0
25,33,29,5,0,0
25,5,0,0,0,0
25,7,5,0,0,0
25,33,29,5,0,0
7,22,0,0,0,0
7,2,22,0,0,0
7,33,22,0,0,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
18,22,33,0,0,0
18,27,30,33,0,0
18,22,7,33,0,0
3,18,27,21,0,0
3,34,17,27,21,0
3,16,18,27,21,0
3,18,27,21,0,0
3,34,17,27,21,0
3,16,18,27,21,0
18,22,33,0,0,0
18,27,30,33,0,0
18,22,7,33,0,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
12,10,2,4,28,0
12,10,15,4,28,0
12,29,2,4,28,0
5,25,0,0,0,0
5,7,25,0,0,0
5,29,33,25,0,0
5,25,0,0,0,0
5,7,25,0,0,0
5,29,33,25,0,0
12,10,2,4,28,0
12,10,15,4,28,0
12,29,2,4,28,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
20,24,10,7,25,0
20,9,29,33,25,0
20,9,29,5,25,0
27,30,33,29,19,0
27,35,33,29,19,0
27,18,22,7,5,19
27,30,33,29,19,0
27,35,33,29,19,0
27,18,22,7,5,19
20,24,10,7,25,0
20,9,29,33,25,0
20,9,29,5,25,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
2,10,12,0,0,0
2,29,12,0,0,0
2,10,24,12,0,0
33,29,9,14,0,0
33,29,23,14,0,0
33,29,9,23,14,0
33,29,9,14,0,0
33,29,23,14,0,0
33,29,9,23,14,0
2,10,12,0,0,0
2,29,12,0,0,0
2,10,24,12,0,0
17,22,7,25,0,0
17,22,33,25,0,0
17,35,33,25,0,0
6,26,18,27,17,0
6,28,18,27,17,0
6,26,18,22,17,0
23,12,0,0,0,0
23,9,12,0,0,0
23,29,12,0,0,0
