2,4,28,0,0,0,0
2,4,18,28,0,0,0
2,15,4,28,0,0,0
21,31,33,29,9,0,0
21,30,33,29,9,0,0
21,27,30,33,29,9,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
10,29,33,31,21,0,0
10,29,33,30,21,0,0
10,7,33,31,21,0,0
4,28,0,0,0,0,0
4,18,28,0,0,0,0
4,18,16,28,0,0,0
4,28,0,0,0,0,0
4,18,28,0,0,0,0
4,18,16,28,0,0,0
10,29,33,31,21,0,0
10,29,33,30,21,0,0
10,7,33,31,21,0,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
26,15,10,12,0,0,0
26,32,24,12,0,0,0
26,15,10,24,12,0,0
8,24,0,0,0,0,0
8,10,24,0,0,0,0
8,32,24,0,0,0,0
8,24,0,0,0,0,0
8,10,24,0,0,0,0
8,32,24,0,0,0,0
26,15,10,12,0,0,0
26,32,24,12,0,0,0
26,15,10,24,12,0,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
14,9,29,10,15,26,0
14,23,29,10,15,26,0
14,23,12,10,15,26,0
3,18,26,32,24,20,0
3,18,26,15,10,24,20
3,18,4,2,10,24,20
3,18,26,32,24,20,0
3,18,26,15,10,24,20
3,18,4,2,10,24,20
14,9,29,10,15,26,0
14,23,29,10,15,26,0
14,23,12,10,15,26,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
30,27,17,13,0,0,0
30,35,17,13,0,0,0
30,27,17,34,13,0,0
32,26,18,27,30,0,0
32,26,18,22,33,30,0
32,26,4,18,27,30,0
32,26,18,27,30,0,0
32,26,18,22,33,30,0
32,26,4,18,27,30,0
30,27,17,13,0,0,0
30,35,17,13,0,0,0
30,27,17,34,13,0,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
10,12,0,0,0,0,0
10,24,12,0,0,0,0
10,29,12,0,0,0,0
32,26,15,2,0,0,0
32,26,4,2,0,0,0
32,24,10,2,0,0,0
32,26,15,2,0,0,0
32,26,4,2,0,0,0
32,24,10,2,0,0,0
10,12,0,0,0,0,0
10,24,12,0,0,0,0
10,29,12,0,0,0,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
26,18,3,34,0,0,0
26,18,27,17,34,0,0
26,18,22,17,34,0,0
34,17,22,2,10,0,0
34,17,22,7,10,0,0
34,3,18,26,15,10,0
34,17,22,2,10,0,0
34,17,22,7,10,0,0
34,3,18,26,15,10,0
26,18,3,34,0,0,0
26,18,27,17,34,0,0
26,18,22,17,34,0,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
5,7,22,17,13,0,0
5,7,22,18,3,13,0
5,7,22,17,34,13,0
26,18,22,0,0,0,0
26,15,2,22,0,0,0
26,4,18,22,0,0,0
26,18,22,0,0,0,0
26,15,2,22,0,0,0
26,4,18,22,0,0,0
5,7,22,17,13,0,0
5,7,22,18,3,13,0
5,7,22,17,34,13,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
21,27,17,13,0,0,0
21,27,17,34,13,0,0
21,27,18,3,13,0,0
17,34,3,0,0,0,0
17,13,3,0,0,0,0
17,27,18,3,0,0,0
17,34,3,0,0,0,0
17,13,3,0,0,0,0
17,27,18,3,0,0,0
21,27,17,13,0,0,0
21,27,17,34,13,0,0
21,27,18,3,13,0,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
17,27,30,0,0,0,0
17,35,30,0,0,0,0
17,27,35,30,0,0,0
25,7,0,0,0,0,0
25,33,7,0,0,0,0
25,5,7,0,0,0,0
25,7,0,0,0,0,0
25,33,7,0,0,0,0
25,5,7,0,0,0,0
17,27,30,0,0,0,0
17,35,30,0,0,0,0
17,27,35,30,0,0,0
24,10,7,25,0,0,0
24,10,2,7,25,0,0
24,10,29,33,25,0,0
9,20,24,32,0,0,0
9,12,24,32,0,0,0
9,29,10,24,32,0,0
8,15,0,0,0,0,0
8,10,15,0,0,0,0
8,10,2,15,0,0,0
