19,25,0,10
21,3,2,14
6,12,2,13
13,19,1,14
4,6,0,11
4,6,0,10
33,27,1,11
25,26,1,15
25,20,2,16
9,24,1,15
9,24,2,16
30,3,2,15
14,17,0,14
31,8,0,14
12,13,0,12
12,13,1,15
31,21,0,12
3,21,1,14
32,2,1,15
5,26,0,10
5,26,1,12
25,2,2,15
23,31,2,15
5,20,1,14
14,22,1,13
14,22,0,13
10,14,1,15
28,31,1,13
10,7,0,11
32,5,0,14
32,5,1,13
2,19,2,13
3,11,2,13
1,2,2,13
1,22,1,14
1,22,0,13
14,9,2,15
32,28,2,15
16,33,0,10
33,14,1,13
33,14,1,13
10,27,1,15
2,21,2,16
22,10,2,12
16,22,0,11
16,22,1,15
5,23,0,14
32,1,0,14
22,16,1,13
17,18,0,13
29,8,2,12
33,17,1,15
33,4,0,14
8,23,2,14
23,31,1,15
17,4,0,10
10,26,0,12
17,30,1,12
30,4,0,10
16,21,0,10
19,1,0,10
6,17,1,12
5,2,1,12
26,10,1,15
15,6,0,14
7,14,1,12
7,32,1,15
18,31,1,13
27,22,0,11
4,13,1,11
22,5,2,15
25,27,0,10
20,22,0,14
8,2,0,11
27,27,1,15
6,2,2,15
7,26,0,12
30,29,1,15
4,28,2,12
22,26,1,11
14,19,0,10
16,32,0,14
18,25,1,12
28,29,1,11
20,23,0,11
29,18,1,14
16,1,2,16
28,29,0,10
1,1,1,14
23,9,2,16
30,2,0,13
33,31,2,14
12,10,2,15
13,33,1,14
31,25,2,13
16,25,0,11
16,1,2,14
31,1,2,14
18,31,0,10
32,17,0,14
