1,4,7,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,9,10,13,17,21,22,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,7,12,15,18,20,22,27,29,33,35,37,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,7,12,14,16,21,22,26,29,32,36,39,41,45,46,50,54,56,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,9,11,14,17,21,22,26,30,33,36,39,40,44,46,51,52,56,58,62,65,67,72,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,7,12,14,17,21,24,26,29,32,36,37,40,45,46,51,52,56,58,63,65,69,70,74,78,80,84,86,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,9,10,14,17,20,24,27,30,33,36,37,42,44,46,51,52,56,58,62,64,67,71,74,78,81,84,85,88,92,96,99,102,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,7,12,14,17,20,22,27,29,31,36,39,42,43,48,51,54,56,58,63,65,67,72,75,78,80,84,85,90,91,96,99,102,105,106,111,114,115,118,0,0,0,0,0,0,0,0,0,0
1,6,9,12,14,17,20,24,27,29,32,36,37,40,45,46,51,52,56,58,63,65,69,72,75,78,79,82,85,90,93,96,99,102,105,108,111,114,117,119,122,124,129,131,134,0,0,0,0,0
1,6,9,12,14,17,21,24,27,29,32,36,37,42,43,48,51,54,56,58,63,65,67,71,75,78,81,84,85,90,92,96,97,102,105,108,111,112,115,120,121,126,129,131,134,137,140,144,146,150
