1,18,2,16
1,18,2,11
28,31,2,12
24,14,2,8
34,10,2,8
34,10,2,11
6,31,2,16
23,26,0,2
23,26,2,4
10,20,1,9
25,24,2,16
25,24,2,12
34,32,1,15
32,23,1,5
32,23,2,3
26,17,2,14
28,6,0,13
28,6,2,11
17,18,1,3
15,21,2,6
15,21,1,10
22,33,2,10
29,18,1,14
29,18,0,12
31,24,2,3
19,10,1,12
19,10,1,6
34,6,0,7
23,27,1,2
23,27,2,14
1,12,2,9
10,6,2,12
4,4,0,10
4,3,1,5
21,21,1,3
7,21,1,8
22,24,2,16
4,9,1,4
31,33,0,9
26,33,0,5
1,28,1,4
8,34,1,5
31,14,2,16
22,33,0,5
17,1,2,15
24,31,0,11
19,10,0,6
5,14,0,10
33,21,0,10
25,3,2,4
22,27,2,12
14,4,2,3
15,5,0,14
23,30,2,4
24,23,0,12
3,12,0,4
16,34,1,9
28,11,1,15
24,22,1,7
8,5,1,15
30,30,2,4
34,34,2,14
31,25,2,14
23,19,2,3
34,25,0,9
7,30,2,16
5,6,2,16
27,30,2,9
27,34,2,10
25,32,0,9
6,23,0,6
5,22,1,11
10,10,2,9
25,1,0,10
20,21,2,11
30,11,2,14
28,20,1,6
3,3,2,6
20,34,1,2
32,10,1,11
8,29,1,10
18,30,0,8
26,5,1,6
27,14,2,6
34,33,2,4
23,30,2,14
12,11,0,14
2,22,2,5
14,4,1,6
11,13,2,14
14,26,2,12
11,27,1,5
10,12,2,9
8,28,2,3
8,33,2,3
23,1,0,8
28,3,0,13
30,19,1,12
34,18,1,5
27,6,0,3
