10,65,3,26
43,52,8,15
62,1,10,29
7,22,9,19
5,28,6,14
41,1,5,18
29,43,8,11
46,30,8,22
62,32,10,27
3,59,4,22
14,24,3,27
52,28,2,14
24,25,9,25
59,45,10,13
33,29,2,23
19,36,7,10
63,24,9,30
10,57,5,10
27,42,2,19
15,24,7,13
46,43,9,24
56,58,7,25
7,19,3,13
11,43,9,22
17,55,7,16
30,54,7,13
15,41,5,10
39,61,2,16
7,25,3,29
43,52,10,24
54,11,2,29
4,23,10,14
39,37,8,24
63,50,5,17
24,12,8,10
15,18,5,11
34,31,4,11
41,38,3,17
41,64,9,12
6,16,2,12
55,26,6,19
47,5,4,16
40,3,2,18
54,23,4,25
61,49,10,21
27,19,7,19
46,11,3,17
57,6,7,25
34,26,8,24
12,3,9,19
