10,28,46,65,0,0,0,0,0
10,30,40,13,65,0,0,0,0
10,30,28,46,65,0,0,0,0
43,13,40,30,52,0,0,0,0
43,1,31,28,55,52,0,0,0
43,1,31,28,30,52,0,0,0
62,13,43,1,0,0,0,0,0
62,13,65,43,1,0,0,0,0
62,16,13,43,1,0,0,0,0
7,40,30,28,53,22,0,0,0
7,16,13,23,41,22,0,0,0
7,40,13,23,41,22,0,0,0
5,51,55,28,0,0,0,0,0
5,51,24,55,28,0,0,0,0
5,25,63,30,28,0,0,0,0
41,14,1,0,0,0,0,0,0
41,14,31,1,0,0,0,0,0
41,22,14,1,0,0,0,0,0
29,28,31,1,43,0,0,0,0
29,30,40,13,43,0,0,0,0
29,28,46,65,43,0,0,0,0
46,28,30,0,0,0,0,0,0
46,28,10,30,0,0,0,0,0
46,28,29,30,0,0,0,0,0
62,13,43,1,31,32,0,0,0
62,16,40,30,28,32,0,0,0
62,13,40,30,28,32,0,0,0
3,30,63,59,0,0,0,0,0
3,30,33,63,59,0,0,0,0
3,52,30,63,59,0,0,0,0
14,31,28,55,24,0,0,0,0
14,1,31,28,55,24,0,0,0
14,31,39,28,55,24,0,0,0
52,55,28,0,0,0,0,0,0
52,30,28,0,0,0,0,0,0
52,3,28,0,0,0,0,0,0
24,48,61,25,0,0,0,0,0
24,51,5,25,0,0,0,0,0
24,15,59,63,25,0,0,0,0
59,45,0,0,0,0,0,0,0
59,35,45,0,0,0,0,0,0
59,35,8,45,0,0,0,0,0
33,30,29,0,0,0,0,0,0
33,10,30,29,0,0,0,0,0
33,10,28,29,0,0,0,0,0
19,45,42,10,28,53,36,0,0
19,45,47,10,28,53,36,0,0
19,45,42,10,30,40,50,36,0
63,59,15,24,0,0,0,0,0
63,25,61,48,24,0,0,0,0
63,25,5,51,24,0,0,0,0
10,42,45,59,57,0,0,0,0
10,33,63,59,57,0,0,0,0
10,47,45,59,57,0,0,0,0
27,63,33,10,42,0,0,0,0
27,63,30,10,42,0,0,0,0
27,63,59,45,42,0,0,0,0
15,24,0,0,0,0,0,0,0
15,26,24,0,0,0,0,0,0
15,59,4,49,26,24,0,0,0
46,65,43,0,0,0,0,0,0
46,65,13,43,0,0,0,0,0
46,28,31,1,43,0,0,0,0
56,55,52,30,58,0,0,0,0
56,55,28,30,58,0,0,0,0
56,55,52,3,30,58,0,0,0
7,40,30,10,42,45,19,0,0
7,40,30,10,47,45,19,0,0
7,40,30,63,6,17,19,0,0
11,35,59,63,30,40,13,43,0
11,35,45,42,10,28,31,1,43
11,35,45,42,10,30,40,13,43
17,6,63,30,52,55,0,0,0
17,6,63,30,28,55,0,0,0
17,27,63,30,52,55,0,0,0
30,10,2,54,0,0,0,0,0
30,33,10,2,54,0,0,0,0
30,28,10,2,54,0,0,0,0
15,24,55,28,31,14,41,0,0
15,24,55,28,53,22,41,0,0
15,24,55,28,31,1,14,41,0
39,28,55,24,48,61,0,0,0
39,28,30,63,25,61,0,0,0
39,31,28,55,24,48,61,0,0
7,40,30,63,25,0,0,0,0
7,16,40,30,63,25,0,0,0
7,40,30,33,63,25,0,0,0
43,13,40,30,52,0,0,0,0
43,1,31,28,55,52,0,0,0
43,1,31,28,30,52,0,0,0
54,2,10,42,45,35,11,0,0
54,2,10,47,45,35,11,0,0
54,2,10,42,45,59,35,11,0
4,59,63,30,40,13,23,0,0
4,49,27,63,30,40,13,23,0
4,59,63,33,30,40,13,23,0
39,46,37,0,0,0,0,0,0
39,28,46,37,0,0,0,0,0
39,2,54,37,0,0,0,0,0
63,30,40,50,0,0,0,0,0
63,33,30,40,50,0,0,0,0
63,33,10,30,40,50,0,0,0
24,15,59,35,12,0,0,0,0
24,15,59,60,12,0,0,0,0
24,15,59,57,60,12,0,0,0
15,24,55,34,64,18,0,0,0
15,24,55,56,44,18,0,0,0
15,24,51,55,34,64,18,0,0
34,55,28,31,0,0,0,0,0
34,55,28,39,31,0,0,0,0
34,55,28,32,31,0,0,0,0
41,14,31,28,10,33,38,0,0
41,23,13,40,30,33,38,0,0
41,22,53,28,10,33,38,0,0
41,14,31,28,55,34,64,0,0
41,22,53,28,55,34,64,0,0
41,14,1,31,28,55,34,64,0
6,63,30,40,16,0,0,0,0
6,63,33,30,40,16,0,0,0
6,63,30,40,7,16,0,0,0
55,24,26,0,0,0,0,0,0
55,24,15,26,0,0,0,0,0
55,51,24,26,0,0,0,0,0
47,10,33,63,25,5,0,0,0
47,10,33,38,25,5,0,0,0
47,10,28,55,51,5,0,0,0
40,30,3,0,0,0,0,0,0
40,30,52,3,0,0,0,0,0
40,30,28,3,0,0,0,0,0
54,37,46,65,13,23,0,0,0
54,2,10,30,40,13,23,0,0
54,37,46,65,43,13,23,0,0
61,48,24,26,49,0,0,0,0
61,25,63,27,49,0,0,0,0
61,48,24,15,26,49,0,0,0
27,17,19,0,0,0,0,0,0
27,63,6,17,19,0,0,0,0
27,63,59,45,19,0,0,0,0
46,28,10,42,45,35,11,0,0
46,28,10,47,45,35,11,0,0
46,28,30,63,59,35,11,0,0
57,59,63,6,0,0,0,0,0
57,60,59,63,6,0,0,0,0
57,59,45,19,17,6,0,0,0
34,55,24,26,0,0,0,0,0
34,55,24,15,26,0,0,0,0
34,55,51,24,26,0,0,0,0
12,35,59,63,30,3,0,0,0
12,60,59,63,30,3,0,0,0
12,35,45,42,10,30,3,0,0
