35,32,8,11
7,10,7,22
30,1,8,19
15,27,8,24
10,17,6,26
23,9,2,29
28,6,2,22
31,11,2,10
29,33,4,27
28,8,4,29
30,29,5,13
35,20,3,30
9,19,5,21
19,22,10,26
7,30,5,28
16,17,10,23
18,21,5,27
35,30,5,25
12,10,10,23
14,9,9,12
3,4,9,21
16,7,5,17
32,6,6,21
3,5,4,11
14,34,5,11
14,34,8,15
19,33,10,25
15,8,4,17
25,9,4,11
18,26,4,15
33,12,2,26
10,16,2,11
20,32,6,10
16,13,3,12
8,11,2,10
27,21,4,22
28,26,6,14
30,3,3,17
19,32,10,25
14,15,2,18
35,17,5,24
35,5,6,25
3,1,6,18
11,6,2,15
7,26,6,20
32,3,9,20
12,21,7,21
6,5,7,12
28,19,8,29
2,3,4,15
