35,22,18,26,32,0,0,0
35,33,29,10,8,32,0,0
35,27,18,26,32,0,0,0
7,10,0,0,0,0,0,0
7,2,10,0,0,0,0,0
7,29,10,0,0,0,0,0
30,33,1,0,0,0,0,0
30,31,1,0,0,0,0,0
30,31,33,1,0,0,0,0
15,26,18,27,0,0,0,0
15,4,18,27,0,0,0,0
15,4,26,18,27,0,0,0
10,2,22,17,0,0,0,0
10,7,22,17,0,0,0,0
10,29,33,35,17,0,0,0
23,9,0,0,0,0,0,0
23,14,9,0,0,0,0,0
23,29,9,0,0,0,0,0
28,6,0,0,0,0,0,0
28,4,26,6,0,0,0,0
28,18,26,6,0,0,0,0
31,30,27,17,34,11,0,0
31,30,27,18,16,11,0,0
31,21,27,17,34,11,0,0
29,33,0,0,0,0,0,0
29,7,33,0,0,0,0,0
29,5,25,33,0,0,0,0
28,4,15,8,0,0,0,0
28,4,15,10,8,0,0,0
28,4,26,32,8,0,0,0
30,33,29,0,0,0,0,0
30,31,33,29,0,0,0,0
30,35,33,29,0,0,0,0
35,33,29,9,20,0,0,0
35,22,33,29,9,20,0,0
35,33,29,12,9,20,0,0
9,23,19,0,0,0,0,0
9,29,19,0,0,0,0,0
9,14,23,19,0,0,0,0
19,29,33,22,0,0,0,0
19,5,7,22,0,0,0,0
19,29,33,35,22,0,0,0
7,33,30,0,0,0,0,0
7,33,31,30,0,0,0,0
7,33,35,30,0,0,0,0
16,11,34,17,0,0,0,0
16,3,13,17,0,0,0,0
16,18,27,17,0,0,0,0
18,27,21,0,0,0,0,0
18,27,30,21,0,0,0,0
18,22,17,27,21,0,0,0
35,30,0,0,0,0,0,0
35,33,30,0,0,0,0,0
35,27,30,0,0,0,0,0
12,10,0,0,0,0,0,0
12,24,10,0,0,0,0,0
12,29,10,0,0,0,0,0
14,9,0,0,0,0,0,0
14,23,9,0,0,0,0,0
14,23,29,9,0,0,0,0
3,18,4,0,0,0,0,0
3,18,26,4,0,0,0,0
3,18,28,4,0,0,0,0
16,18,22,7,0,0,0,0
16,18,22,33,7,0,0,0
16,18,22,2,7,0,0,0
32,26,6,0,0,0,0,0
32,26,4,28,6,0,0,0
32,26,18,28,6,0,0,0
3,18,22,7,5,0,0,0
3,18,22,33,29,5,0,0
3,18,22,33,25,5,0,0
14,9,29,33,35,17,34,0
14,9,29,33,22,17,34,0
14,9,29,33,30,27,17,34
14,9,29,33,35,17,34,0
14,9,29,33,22,17,34,0
14,9,29,33,30,27,17,34
19,29,33,0,0,0,0,0
19,5,29,33,0,0,0,0
19,5,25,33,0,0,0,0
15,8,0,0,0,0,0,0
15,10,8,0,0,0,0,0
15,2,10,8,0,0,0,0
25,33,29,9,0,0,0,0
25,5,29,9,0,0,0,0
25,7,29,9,0,0,0,0
18,26,0,0,0,0,0,0
18,4,26,0,0,0,0,0
18,28,4,26,0,0,0,0
33,29,12,0,0,0,0,0
33,29,9,12,0,0,0,0
33,29,10,12,0,0,0,0
10,15,26,18,16,0,0,0
10,15,4,18,16,0,0,0
10,15,4,26,18,16,0,0
20,24,32,0,0,0,0,0
20,24,8,32,0,0,0,0
20,9,12,24,32,0,0,0
16,3,13,0,0,0,0,0
16,11,34,13,0,0,0,0
16,18,3,13,0,0,0,0
8,32,26,18,16,11,0,0
8,15,26,18,16,11,0,0
8,10,15,26,18,16,11,0
27,21,0,0,0,0,0,0
27,30,21,0,0,0,0,0
27,30,31,21,0,0,0,0
28,4,26,0,0,0,0,0
28,18,26,0,0,0,0,0
28,6,26,0,0,0,0,0
30,27,18,3,0,0,0,0
30,27,17,13,3,0,0,0
30,27,17,34,3,0,0,0
19,29,10,8,32,0,0,0
19,23,12,24,32,0,0,0
19,29,12,24,32,0,0,0
14,9,29,10,15,0,0,0
14,9,29,2,15,0,0,0
14,9,12,10,15,0,0,0
35,17,0,0,0,0,0,0
35,22,17,0,0,0,0,0
35,27,17,0,0,0,0,0
35,33,29,5,0,0,0,0
35,33,25,5,0,0,0,0
35,33,7,5,0,0,0,0
3,18,22,33,1,0,0,0
3,13,17,35,33,1,0,0
3,18,22,35,33,1,0,0
11,16,28,6,0,0,0,0
11,16,18,26,6,0,0,0
11,16,18,28,6,0,0,0
7,2,4,26,0,0,0,0
7,2,15,26,0,0,0,0
7,10,15,26,0,0,0,0
32,26,18,3,0,0,0,0
32,26,18,16,3,0,0,0
32,26,4,18,3,0,0,0
12,29,33,30,21,0,0,0
12,29,33,31,21,0,0,0
12,29,33,30,27,21,0,0
6,26,15,10,29,5,0,0
6,26,4,2,29,5,0,0
6,26,4,2,7,5,0,0
28,4,2,29,19,0,0,0
28,4,15,10,29,19,0,0
28,4,2,10,29,19,0,0
2,22,18,3,0,0,0,0
2,4,18,3,0,0,0,0
2,4,26,18,3,0,0,0
